Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
850.0,2.0,137.0,True,15.0,True,407.0,466.0,2.0,4540
1100.0,3.0,165.0,False,0.0,True,115.0,245.0,2.0,8790
900.0,3.0,180.0,True,20.0,False,0.0,160.0,3.0,4852
3350.0,5.0,320.0,True,26.0,True,20.0,160.0,2.0,1200
1750.0,4.0,145.0,True,16.0,True,47.0,212.0,3.0,3080
3500.0,5.0,580.0,False,0.0,False,0.0,12700.0,4.0,1390
2500.0,7.0,230.0,False,0.0,False,0.0,715.0,4.0,3530
1570.0,3.0,186.0,False,0.0,False,0.0,451.0,3.0,2550
2600.0,5.0,300.0,True,30.0,True,70.0,300.0,3.0,1140
1100.0,4.0,150.0,False,0.0,False,0.0,1200.0,4.0,1701
825.0,4.0,186.0,False,0.0,False,0.0,500.0,2.0,8760
3500.0,5.0,250.0,True,15.0,True,250.0,500.0,3.0,1150
1300.0,4.0,279.0,True,201.0,True,300.0,782.0,3.0,4610
1090.0,3.0,180.0,True,30.0,True,100.0,100.0,3.0,4607
875.0,3.0,138.0,False,0.0,False,0.0,138.0,3.0,9800
3600.0,5.0,420.0,True,60.0,True,1500.0,2000.0,4.0,1380
1500.0,1.0,60.0,True,1.0,True,1.0,400.0,2.0,8730
800.0,3.0,102.0,False,0.0,True,130.0,255.0,3.0,8750
3250.0,4.0,175.0,True,15.0,True,75.0,175.0,3.0,1050
1000.0,2.0,158.0,False,0.0,False,0.0,800.0,4.0,2920
1450.0,3.0,100.0,True,22.0,True,800.0,1000.0,3.0,1640
970.0,2.0,90.0,True,25.0,True,155.0,300.0,3.0,4020
1650.0,3.0,120.0,True,10.0,True,100.0,100.0,3.0,1970
1200.0,3.0,140.0,True,12.0,True,300.0,641.0,4.0,3890
1900.0,3.0,190.0,True,15.0,True,300.0,300.0,2.0,1332
2900.0,3.0,227.0,False,0.0,False,0.0,136.0,2.0,2500
600.0,2.0,200.0,True,60.0,True,800.0,1000.0,4.0,5352
995.0,4.0,160.0,False,0.0,True,600.0,800.0,2.0,7070
1900.0,3.0,160.0,True,30.0,True,620.0,800.0,4.0,1780
685.0,2.0,123.0,False,0.0,True,164.0,273.0,2.0,7160
695.0,1.0,485.0,True,30.0,True,100.0,250.0,2.0,2140
2500.0,4.0,200.0,True,20.0,True,800.0,800.0,4.0,1410
1500.0,2.0,152.0,False,0.0,False,0.0,1200.0,4.0,3200
960.0,3.0,225.0,True,20.0,True,120.0,275.0,2.0,8510
750.0,2.0,58.0,True,32.0,True,10.0,100.0,4.0,5580
890.0,3.0,110.0,True,10.0,True,50.0,100.0,2.0,6900
1100.0,5.0,170.0,True,16.0,False,0.0,100.0,3.0,6220
1400.0,3.0,120.0,True,10.0,True,100.0,190.0,3.0,1970
1300.0,2.0,164.0,False,0.0,False,0.0,1196.0,4.0,2970
800.0,3.0,177.0,True,10.0,True,167.0,336.0,3.0,6810
1150.0,2.0,123.0,True,50.0,True,250.0,300.0,3.0,4121
1190.0,4.0,290.0,True,38.0,True,100.0,138.0,2.0,7970
875.0,2.0,192.0,True,25.0,True,200.0,225.0,3.0,4450
950.0,4.0,150.0,True,20.0,True,150.0,200.0,3.0,4630
2350.0,3.0,180.0,True,7.0,False,0.0,50.0,2.0,1050
650.0,2.0,95.0,True,15.0,False,0.0,50.0,2.0,9506
1090.0,4.0,175.0,True,20.0,True,700.0,850.0,4.0,9850
2350.0,4.0,281.0,True,45.0,False,0.0,1500.0,4.0,2610
1595.0,2.0,174.0,True,19.0,False,0.0,90.0,2.0,2100
2700.0,4.0,200.0,True,30.0,True,800.0,1000.0,4.0,3080
7000.0,12.0,668.0,True,75.0,True,2500.0,2500.0,4.0,1640
2650.0,4.0,210.0,True,25.0,True,1600.0,1700.0,4.0,3080
4200.0,6.0,350.0,True,50.0,True,1200.0,1200.0,4.0,1410
3500.0,2.0,245.0,True,8.0,False,0.0,84.0,2.0,1000
4000.0,4.0,434.0,True,10.0,False,0.0,155.0,2.0,1050
2700.0,5.0,290.0,True,40.0,True,600.0,1800.0,4.0,1410
2300.0,4.0,209.0,True,60.0,True,700.0,700.0,4.0,1410
1600.0,3.0,206.0,False,0.0,False,0.0,42.0,2.0,2800
400.0,4.0,224.0,False,0.0,False,0.0,223.0,2.0,6230
2250.0,4.0,235.0,True,15.0,True,120.0,250.0,2.0,2640
3850.0,5.0,365.0,True,25.0,True,900.0,1231.0,4.0,1332
1775.0,1.0,85.0,True,35.0,False,0.0,117.0,2.0,1050
3100.0,4.0,203.0,True,25.0,True,400.0,1050.0,4.0,1180
2450.0,4.0,280.0,True,30.0,True,600.0,850.0,3.0,1640
2200.0,2.0,205.0,True,35.0,True,350.0,999.0,4.0,1860
5500.0,6.0,600.0,False,0.0,False,0.0,2386.0,4.0,3080
3600.0,5.0,258.0,True,10.0,True,515.0,676.0,4.0,3080
1700.0,3.0,243.0,False,0.0,False,0.0,363.0,3.0,2100
1600.0,4.0,145.0,True,35.0,False,0.0,249.0,3.0,1490
1800.0,4.0,158.0,True,15.0,True,200.0,357.0,4.0,1435
360.0,2.0,250.0,True,20.0,True,1200.0,1200.0,3.0,6210
795.0,2.0,102.0,False,0.0,True,150.0,150.0,3.0,6120
1950.0,3.0,231.0,True,25.0,False,0.0,277.0,2.0,2650
3750.0,4.0,283.0,True,35.0,True,900.0,1350.0,4.0,1332
2950.0,5.0,275.0,True,100.0,True,300.0,764.0,4.0,3090
2600.0,4.0,216.0,True,40.0,True,132.0,409.0,3.0,1190
625.0,1.0,60.0,False,0.0,False,0.0,60.0,1.0,9230
1200.0,3.0,107.0,False,0.0,True,84.0,157.0,2.0,2860
4250.0,5.0,364.0,True,30.0,True,1043.0,5550.0,3.0,1653
1250.0,2.0,149.0,False,0.0,True,100.0,420.0,2.0,1380
2800.0,4.0,300.0,True,80.0,True,1290.0,1440.0,4.0,1560
3200.0,5.0,340.0,True,25.0,True,200.0,540.0,4.0,1970
2700.0,3.0,285.0,True,25.0,True,70.0,228.0,2.0,1180
895.0,3.0,135.0,False,0.0,False,0.0,170.0,2.0,8000
750.0,2.0,140.0,False,0.0,False,0.0,89.0,2.0,4500
1000.0,3.0,165.0,False,0.0,True,1227.0,1227.0,4.0,2275
790.0,3.0,140.0,True,32.0,True,300.0,600.0,3.0,8540
1950.0,3.0,269.0,True,45.0,True,250.0,367.0,3.0,1410
4500.0,5.0,500.0,True,120.0,True,150.0,586.0,2.0,1180
475.0,2.0,48.0,True,20.0,True,20.0,40.0,2.0,5575
