Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
10248225,True,False,2700.0,4.0,213.0,True,False,False,True,18.0,True,170.0,284.0,284.0,2.0,False,Excellentétat,1170,Maisonbel-étage,9.507042253521126,Brussels
10248571,True,False,4500.0,5.0,500.0,True,False,False,True,120.0,True,150.0,670.0,670.0,2.0,False,Excellentétat,1180,Maison,6.7164179104477615,Brussels
10249707,True,False,2800.0,4.0,260.0,True,False,False,True,20.0,True,500.0,918.0,918.0,4.0,False,Excellentétat,1933,Villa,3.0501089324618738,Brussels
10249812,True,False,900.0,3.0,140.0,True,False,False,False,0.0,True,105.0,175.0,175.0,2.0,False,Bon,9140,Maison,5.142857142857143,Flanders
10250271,True,False,1100.0,3.0,140.0,True,False,False,False,0.0,False,0.0,154.0,154.0,2.0,False,Excellentétat,8434,Maison,7.142857142857143,Brussels
10250272,True,False,1100.0,3.0,141.0,True,False,False,False,0.0,False,0.0,156.0,156.0,2.0,False,Excellentétat,8434,Maison,7.051282051282051,Brussels
10251244,True,False,700.0,3.0,90.0,True,False,False,True,8.0,True,60.0,135.0,135.0,3.0,False,Fraîchementrénové,4845,Maison,5.185185185185185,Wallonia
10252538,True,False,1200.0,2.0,175.0,True,False,True,True,30.0,False,0.0,175.0,175.0,3.0,False,Bon,8000,Autresbiens,6.857142857142857,Brussels
10252634,True,False,2390.0,3.0,163.0,True,True,False,True,21.0,True,100.0,200.0,200.0,3.0,False,Excellentétat,1410,Maison,11.95,Brussels
10253038,True,False,2200.0,5.0,240.0,True,False,False,True,25.0,True,1193.0,1193.0,1193.0,4.0,False,Bon,1330,Villa,1.8440905280804694,Brussels
10253341,True,False,2000.0,5.0,250.0,True,False,False,False,0.0,False,0.0,125.0,125.0,2.0,False,Bon,2600,Maison,16.0,Flanders
10254577,True,False,590.0,1.0,88.0,True,False,False,False,0.0,False,0.0,88.0,88.0,3.0,False,Bon,7700,Maison,6.704545454545454,Wallonia
10254685,True,False,880.0,2.0,88.0,True,True,False,True,18.0,True,159.0,202.0,202.0,2.0,False,Bon,4219,Maison,4.356435643564357,Wallonia
10257125,True,False,2900.0,4.0,247.0,True,False,False,True,60.0,True,40.0,219.0,219.0,3.0,False,Excellentétat,1150,Maisonbel-étage,13.242009132420092,Brussels
